# Gradient from BCP/RCP (upwards)
# number of points: 123
# ---- origin of the path ---- 
# name: b5 (bond) ncp: 13 ncpcel: 13
# rho: 3.137795072E-01 grad: 2.500538196E-15 lap: -9.019386871E-01
# starting position (cryst.): 0.57733558   0.35645714   0.49411765   
# starting position (bohr): 1.13598238   -1.97363576  -0.00001294  
# starting path direction (bohr): -0.86641020  -0.49933291  0.00000125   
# ---- end of the path ---- 
# name: C_ (nucleus) ncp: 4 ncpcel: 4
# rho: 1.224259735E+02 grad: 0.000000000E+00 lap: -4.123135600E+06
# end position (cryst.): 0.49664593   0.30995864   0.49411927   
# end position (bohr): 0.00000000   -2.62826100  0.00000000   
# 
#          x                    y                    z                  rho                 rhox                 rhoy                 rhoz                rhoxx                rhoxy                rhoxz                rhoyy                rhoyz                rhozz 
  0.113598237701E+01  -0.197363575596E+01  -0.129379968565E-04   0.313779507177E+00  -0.236417737600E-14  -0.276776485845E-16  -0.813996653917E-15   0.934615887433E-01   0.445049228118E+00  -0.116557433628E-05  -0.422266561418E+00  -0.292569429300E-06  -0.573133714447E+00 
  0.104934135664E+01  -0.202356904735E+01  -0.128127698713E-04   0.315516842001E+00  -0.299360429426E-01  -0.172431106319E-01  -0.149428561886E-06   0.841169002365E-01   0.443072261813E+00  -0.111938067460E-04  -0.431730024794E+00   0.507717850089E-05  -0.579637919855E+00 
  0.104067519387E+01  -0.202855879913E+01  -0.127873583127E-04   0.315879241732E+00  -0.328710429349E-01  -0.189267137559E-01   0.483401463001E-07   0.827164479996E-01   0.443024765729E+00  -0.386760316949E-04  -0.432871608802E+00   0.262926619371E-05  -0.580747349484E+00 
  0.103200903110E+01  -0.203354855091E+01  -0.127619467554E-04   0.316275385510E+00  -0.357888515397E-01  -0.206008118950E-01   0.394691520556E-06   0.806652713821E-01   0.442707308842E+00  -0.420049006048E-04  -0.434491078299E+00   0.102774811299E-05  -0.582002164827E+00 
  0.102334207152E+01  -0.203853691855E+01  -0.126470261459E-04   0.316705058336E+00  -0.386873997803E-01  -0.222647846304E-01   0.579568078309E-06   0.788114881322E-01   0.442492831471E+00  -0.155401075972E-04  -0.436203223883E+00   0.589657493013E-05  -0.583264983498E+00 
  0.101467476587E+01  -0.204352468486E+01  -0.125265199444E-04   0.317168052622E+00  -0.415673542737E-01  -0.239195958968E-01   0.567944261453E-06   0.765235195559E-01   0.442280814569E+00  -0.633272100344E-05  -0.437635554365E+00   0.556016067600E-05  -0.585064911363E+00 
  0.100600755943E+01  -0.204851262356E+01  -0.124251184213E-04   0.317664149127E+00  -0.444251154608E-01  -0.255672632535E-01   0.475516609351E-06   0.735644805883E-01   0.442203332843E+00   0.416802137034E-05  -0.438981503193E+00   0.112532683669E-04  -0.587094028512E+00 
  0.997340865502E+00  -0.205350145271E+01  -0.123608744431E-04   0.318193079069E+00  -0.472541089366E-01  -0.272036297184E-01   0.273867061384E-06   0.710261925688E-01   0.442219407482E+00   0.156920528597E-04  -0.441122112501E+00   0.192520115611E-04  -0.589182594638E+00 
  0.988674833579E+00  -0.205849143174E+01  -0.123349596017E-04   0.318754612676E+00  -0.500708204333E-01  -0.288340177296E-01   0.550653258475E-07   0.691890290283E-01   0.442908073609E+00   0.131362427785E-04  -0.442452189221E+00   0.374434366362E-05  -0.590660894087E+00 
  0.980009509337E+00  -0.206348263959E+01  -0.123289322800E-04   0.319348624317E+00  -0.528737049091E-01  -0.304588798586E-01  -0.166990171020E-07   0.673216118482E-01   0.442948940020E+00   0.690278405473E-05  -0.444829996593E+00  -0.113809733912E-04  -0.593001683840E+00 
  0.971344810959E+00  -0.206847493385E+01  -0.123375141796E-04   0.319974897419E+00  -0.556504873709E-01  -0.320680991605E-01  -0.147724797887E-06   0.638250102968E-01   0.442540028557E+00   0.324628713849E-04  -0.447368497338E+00  -0.320181492450E-04  -0.596204864847E+00 
  0.962680336653E+00  -0.207346761700E+01  -0.123093494619E-04   0.320633110778E+00  -0.584076825162E-01  -0.336596653775E-01   0.135049216028E-06   0.634535023526E-01   0.442452095427E+00  -0.414699921182E-04  -0.449840248707E+00  -0.637048017067E-04  -0.598076000226E+00 
  0.954015760301E+00  -0.207846012305E+01  -0.122568539154E-04   0.321323155320E+00  -0.611680328998E-01  -0.352462443808E-01   0.604452994233E-06   0.630434660697E-01   0.443165916355E+00   0.235276024044E-06  -0.451817303466E+00  -0.250155562665E-05  -0.600308927883E+00 
  0.945350972114E+00  -0.208345226143E+01  -0.122091832169E-04   0.322044998757E+00  -0.639201435552E-01  -0.368263975824E-01   0.407201217739E-06   0.611628840898E-01   0.443654947989E+00   0.167300955903E-04  -0.454338741929E+00   0.787343792820E-05  -0.603142665762E+00 
  0.936686183926E+00  -0.208844439982E+01  -0.121615125188E-04   0.322798507552E+00  -0.666622606201E-01  -0.384018407287E-01   0.314157781110E-06   0.602055863161E-01   0.445083157470E+00   0.226608975326E-05  -0.456610060908E+00  -0.326375972503E-04  -0.605531043463E+00 
  0.928021019472E+00  -0.209343588507E+01  -0.121020074642E-04   0.323583655295E+00  -0.694062925053E-01  -0.399786947998E-01   0.585264881577E-06   0.595048255560E-01   0.446237928876E+00   0.114991122863E-04  -0.459304173708E+00  -0.947478660093E-04  -0.608225514724E+00 
  0.919355509397E+00  -0.209842677027E+01  -0.120168020432E-04   0.324400430233E+00  -0.721483821857E-01  -0.415506328959E-01   0.770907243716E-06   0.590074750789E-01   0.447057465019E+00   0.806045479446E-04  -0.461437695405E+00  -0.150485171188E-03  -0.611249491994E+00 
  0.910689712239E+00  -0.210341715699E+01  -0.119083266004E-04   0.325248808560E+00  -0.748881045038E-01  -0.431238789263E-01   0.104632347609E-05   0.572993221439E-01   0.448298314272E+00  -0.380109999698E-05  -0.462671979177E+00  -0.129104790702E-03  -0.615109288284E+00 
  0.902023766847E+00  -0.210840728629E+01  -0.117962831157E-04   0.326128752042E+00  -0.776229335900E-01  -0.446969731765E-01   0.102176325708E-05   0.573961550274E-01   0.449323291841E+00   0.435768302110E-04  -0.465933643031E+00   0.117217853663E-04  -0.619845872149E+00 
  0.893357521352E+00  -0.211339689440E+01  -0.117352799935E-04   0.327040256079E+00  -0.803651898988E-01  -0.462667986464E-01   0.414922006138E-06   0.579029425711E-01   0.451509096730E+00   0.657095508454E-04  -0.467526580391E+00   0.282398037942E-04  -0.623665619719E+00 
  0.884691583187E+00  -0.211838703625E+01  -0.117549768492E-04   0.327983563099E+00  -0.831417941053E-01  -0.478749520218E-01  -0.441891448109E-06   0.600408770481E-01   0.456379168244E+00   0.837004270927E-04  -0.465314952991E+00   0.544776428207E-04  -0.627825215013E+00 
  0.876026608791E+00  -0.212337885142E+01  -0.118709665844E-04   0.328959271303E+00  -0.859641954529E-01  -0.495286986267E-01  -0.141474547296E-05   0.623747198088E-01   0.461230065763E+00   0.896445191801E-04  -0.465622134920E+00   0.797256429725E-04  -0.632391163605E+00 
  0.867362600310E+00  -0.212837234289E+01  -0.120686816296E-04   0.329967882392E+00  -0.888149129299E-01  -0.511972906312E-01  -0.261643356947E-05   0.639300141874E-01   0.464910981208E+00   0.621131269286E-04  -0.470574072867E+00   0.798329439930E-04  -0.636976679385E+00 
  0.858699490921E+00  -0.213336739401E+01  -0.122152911888E-04   0.331009854287E+00  -0.917381605982E-01  -0.529014832214E-01  -0.225360939327E-05   0.710735928628E-01   0.471632968525E+00  -0.203036576187E-03  -0.470850558631E+00   0.376292481392E-04  -0.639813912369E+00 
  0.850037505926E+00  -0.213836439470E+01  -0.121972284113E-04   0.332086240916E+00  -0.947605116696E-01  -0.546699224696E-01   0.364450552479E-06   0.781253967819E-01   0.479960582103E+00  -0.366209289757E-03  -0.470138697948E+00  -0.214248971485E-04  -0.644311153913E+00 
  0.841375520930E+00  -0.214336139539E+01  -0.121791656333E-04   0.333198336829E+00  -0.979003651533E-01  -0.565190677393E-01   0.246781392825E-05   0.870981566053E-01   0.490075361440E+00  -0.349093583557E-04  -0.474065425572E+00   0.100529682900E-03  -0.650354293853E+00 
  0.832715254297E+00  -0.214836137358E+01  -0.120601203184E-04   0.334347563911E+00  -0.101173133373E+00  -0.584178267181E-01   0.905506462824E-06   0.983200202539E-01   0.499048839491E+00   0.115401145097E-03  -0.478093522026E+00   0.111657676450E-03  -0.655811467268E+00 
